national_no,name,identifier,generation,types,family,stage,baseline_source,audit_class,intended_role,level_up_additions,level_up_retiming,level_up_removals_or_reassignment,tm_additions,tutor_additions,egg_move_additions,signature_move_policy,strong_move_gate,wild_capture_moveset_policy,vega_existing_status,review_confidence,implementation_note
159,アリゲイツ,croconaw,2,みず,ワニノコ → アリゲイツ → オーダイル,中間進化,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,両刀・可変,アクアブレイク / なみのり,中威力STABをLv22～35、役割補助技を進化時またはLv30前後に配置。最終大技は先送り。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,アクアブレイク,クイックターン,アクアリング,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
160,オーダイル,feraligatr,2,みず,ワニノコ → アリゲイツ → オーダイル,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,物理アタッカー,アクアブレイク / たきのぼり / あまごい,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,アクアブレイク,クイックターン,アクアリング,アクアブレイクを進化時／Lv1思い出しに登録。通常のTM・汎用教え技にはしない。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,A,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
161,オタチ,sentret,2,ノーマル,オタチ → オオタチ,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,物理寄り,ずつき / アンコール,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,まもる,てだすけ,あくび,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
162,オオタチ,furret,2,ノーマル,オタチ → オオタチ,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,物理アタッカー,すてみタックル / アンコール,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,まもる,てだすけ,あくび,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
163,ホーホー,hoothoot,2,ノーマル／ひこう,ホーホー → ヨルノズク,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,物理寄り,ずつき / アンコール / つばさでうつ / おいかぜ,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,まもる / アクロバット,てだすけ / おいかぜ,あくび / はねやすめ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑109）,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
164,ヨルノズク,noctowl,2,ノーマル／ひこう,ホーホー → ヨルノズク,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,特殊アタッカー,ばくおんぱ（音系のみ） / アンコール / ぼうふう / おいかぜ,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,まもる / アクロバット,てだすけ / おいかぜ,あくび / はねやすめ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑110）,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
165,レディバ,ledyba,2,むし／ひこう,レディバ → レディアン,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,物理寄り,むしくい / ねばねばネット / つばさでうつ / おいかぜ,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,とんぼがえり / アクロバット,むしくい / おいかぜ,いとをはく / はねやすめ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑198）,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
166,レディアン,ledian,2,むし／ひこう,レディバ → レディアン,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,物理寄り,メガホーン / ねばねばネット / ブレイブバード / おいかぜ,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,とんぼがえり / アクロバット,むしくい / おいかぜ,いとをはく / はねやすめ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑199）,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
167,イトマル,spinarak,2,むし／どく,イトマル → アリアドス,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,物理寄り,むしくい / ねばねばネット / どくばり / どくどく,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,とんぼがえり / ベノムショック,むしくい / ダストシュート,いとをはく / どくびし,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑272）,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
168,アリアドス,ariados,2,むし／どく,イトマル → アリアドス,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,物理寄り,メガホーン / ねばねばネット / ダストシュート / どくどく,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,とんぼがえり / ベノムショック,むしくい / ダストシュート,いとをはく / どくびし,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑273）,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
169,クロバット,crobat,2,どく／ひこう,ズバット → ゴルバット → クロバット,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,両刀・可変,どくづき / ヘドロばくだん / どくどく / ドリルくちばし,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,ベノムショック / アクロバット,ダストシュート / おいかぜ,どくびし / はねやすめ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
170,チョンチー,chinchou,2,みず／でんき,チョンチー → ランターン,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,特殊寄り,みずのはどう / あまごい / でんきショック / でんじは,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,アクアブレイク / ボルトチェンジ,クイックターン / エレキネット,アクアリング / じゅうでん,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
171,ランターン,lanturn,2,みず／でんき,チョンチー → ランターン,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,特殊アタッカー,ハイドロポンプ / あまごい / かみなり / でんじは,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,アクアブレイク / ボルトチェンジ,クイックターン / エレキネット,アクアリング / じゅうでん,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
172,ピチュー,pichu,2,でんき,ピチュー → ピカチュウ → ライチュウ,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,特殊寄り,でんきショック / でんじは,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,ボルトチェンジ,エレキネット,じゅうでん,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑024）,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
173,ピィ,cleffa,2,フェアリー,ピィ → ピッピ → ピクシー,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,特殊寄り,ようせいのかぜ / あまえる,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,マジカルシャイン,ミストバースト,ミストフィールド,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
174,ププリン,igglybuff,2,ノーマル／フェアリー,ププリン → プリン → プクリン,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,補助寄り両刀,ずつき / スピードスター / ほしがる / ようせいのかぜ,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,まもる / マジカルシャイン,てだすけ / ミストバースト,あくび / ミストフィールド,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
175,トゲピー,togepi,2,フェアリー,トゲピー → トゲチック → トゲキッス,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,特殊寄り,ようせいのかぜ / あまえる,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,マジカルシャイン,ミストバースト,ミストフィールド,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑018）,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
176,トゲチック,togetic,2,フェアリー／ひこう,トゲピー → トゲチック → トゲキッス,中間進化,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,特殊寄り,マジカルシャイン / あまえる / エアスラッシュ / おいかぜ,中威力STABをLv22～35、役割補助技を進化時またはLv30前後に配置。最終大技は先送り。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,マジカルシャイン / アクロバット,ミストバースト / おいかぜ,ミストフィールド / はねやすめ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑019）,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
177,ネイティ,natu,2,エスパー／ひこう,ネイティ → ネイティオ,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,特殊寄り,ねんりき / めいそう / かぜおこし / おいかぜ,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,サイコショック / アクロバット,トリック / おいかぜ,ひかりのかべ / はねやすめ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
178,ネイティオ,xatu,2,エスパー／ひこう,ネイティ → ネイティオ,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,特殊アタッカー,サイコショック / めいそう / ぼうふう / おいかぜ,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,サイコショック / アクロバット,トリック / おいかぜ,ひかりのかべ / はねやすめ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
179,メリープ,mareep,2,でんき,メリープ → モココ → デンリュウ,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,特殊寄り,でんきショック / でんじは,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,ボルトチェンジ,エレキネット,じゅうでん,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
180,モココ,flaaffy,2,でんき,メリープ → モココ → デンリュウ,中間進化,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,特殊寄り,10まんボルト / でんじは,中威力STABをLv22～35、役割補助技を進化時またはLv30前後に配置。最終大技は先送り。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,ボルトチェンジ,エレキネット,じゅうでん,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
181,デンリュウ,ampharos,2,でんき,メリープ → モココ → デンリュウ,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,特殊アタッカー,かみなり / でんじは,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,ボルトチェンジ,エレキネット,じゅうでん,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
182,キレイハナ,bellossom,2,くさ,ナゾノクサ → クサイハナ → ラフレシア → キレイハナ,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,特殊寄り,エナジーボール / やどりぎのタネ,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,くさむすび,グラススライダー,こうごうせい,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
183,マリル,marill,2,みず／フェアリー,ルリリ → マリル → マリルリ,中間進化,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,特殊寄り,なみのり / あまごい / マジカルシャイン / あまえる,中威力STABをLv22～35、役割補助技を進化時またはLv30前後に配置。最終大技は先送り。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,アクアブレイク / マジカルシャイン,クイックターン / ミストバースト,アクアリング / ミストフィールド,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
184,マリルリ,azumarill,2,みず／フェアリー,ルリリ → マリル → マリルリ,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,特殊寄り,ハイドロポンプ / あまごい / ムーンフォース / あまえる,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,アクアブレイク / マジカルシャイン,クイックターン / ミストバースト,アクアリング / ミストフィールド,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
185,ウソッキー,sudowoodo,2,いわ,ウソハチ → ウソッキー,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,物理アタッカー,ストーンエッジ / ステルスロック,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,ステルスロック,メテオビーム,すなあらし,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
186,ニョロトノ,politoed,2,みず,ニョロモ → ニョロゾ → ニョロボン → ニョロトノ,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,特殊アタッカー,ハイドロポンプ / あまごい,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,アクアブレイク,クイックターン,アクアリング,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
187,ハネッコ,hoppip,2,くさ／ひこう,ハネッコ → ポポッコ → ワタッコ,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,特殊寄り,メガドレイン / やどりぎのタネ / かぜおこし / おいかぜ,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,くさむすび / アクロバット,グラススライダー / おいかぜ,こうごうせい / はねやすめ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
188,ポポッコ,skiploom,2,くさ／ひこう,ハネッコ → ポポッコ → ワタッコ,中間進化,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,特殊寄り,ギガドレイン / やどりぎのタネ / エアスラッシュ / おいかぜ,中威力STABをLv22～35、役割補助技を進化時またはLv30前後に配置。最終大技は先送り。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,くさむすび / アクロバット,グラススライダー / おいかぜ,こうごうせい / はねやすめ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
