vega_dex_no,name,types,family,stage,intended_role,baseline_source,audit_class,level_up_additions,level_up_retiming,level_up_removals_or_reassignment,tm_additions,tutor_additions,egg_move_additions,vega_custom_move_policy,strong_move_gate,wild_capture_moveset_policy,source_verification,review_confidence
99,シャミネ,ノーマル／ひこう,クロッチ → コクジャク → シャミネ,進化先／単独種,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,すてみタックル / アンコール / ブレイブバード / おいかぜ,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,まもる / アクロバット,てだすけ / おいかぜ,あくび / はねやすめ,代表独自技候補: スピンテール / かくらんひこう,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
100,コーシャン,どく,コーシャン,進化先／単独種,補助寄り両刀,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ヘドロばくだん / どくどく / どくびし,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,ベノムショック,ダストシュート,どくびし,代表独自技候補: ポイズンリーフ,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
101,プラズン,どく／でんき,プラズン → ボルトック,基礎形,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,アシッドボム / どくどく / でんきショック / でんじは,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,ベノムショック / ボルトチェンジ,ダストシュート / エレキネット,どくびし / じゅうでん,代表独自技候補: ポイズンリーフ / マッハボルト,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
102,ボルトック,どく／でんき,プラズン → ボルトック,進化先／単独種,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ヘドロウェーブ / どくどく / かみなり / でんじは,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,ベノムショック / ボルトチェンジ,ダストシュート / エレキネット,どくびし / じゅうでん,代表独自技候補: ポイズンリーフ / マッハボルト,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
103,カワラベ,みず,カワラベ → テペトラー,基礎形,両刀・可変,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,アクアジェット / みずのはどう,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,アクアブレイク,クイックターン,アクアリング,代表独自技候補: アクアボルト,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
104,テペトラー,みず／ほのお,カワラベ → テペトラー,進化先／単独種,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ハイドロポンプ / あまごい / だいもんじ / おにび,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,アクアブレイク / かえんほうしゃ,クイックターン / ねっぷう,アクアリング / にほんばれ,代表独自技候補: アクアボルト / マグマアクセル,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
105,ロップル,みず／ひこう,ロップル,進化先／単独種,両刀・可変,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,アクアブレイク / なみのり / あまごい / ドリルくちばし,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,アクアブレイク / アクロバット,クイックターン / おいかぜ,アクアリング / はねやすめ,代表独自技候補: アクアボルト / かくらんひこう,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
106,オタクン,エスパー,オタクン → ネラー → ニートン,基礎形,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ねんりき / めいそう,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,サイコショック,トリック,ひかりのかべ,代表独自技候補: サイコパンチ,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
107,ネラー,エスパー,オタクン → ネラー → ニートン,中間進化,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,サイコキネシス / めいそう,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,サイコショック,トリック,ひかりのかべ,代表独自技候補: サイコパンチ,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
108,ニートン,エスパー,オタクン → ネラー → ニートン,進化先／単独種,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,サイコショック / めいそう,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,サイコショック,トリック,ひかりのかべ,代表独自技候補: サイコパンチ,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
111,ハクタクン,じめん,ハクタクン,進化先／単独種,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,じしん / すなあらし,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,じならし,ねっさのだいち,まきびし,代表独自技候補: すなかぜ,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
121,スミロドン,こおり,スミロドン,進化先／単独種,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ふぶき / ゆきげしき,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,アイススピナー,トリプルアクセル,オーロラベール,代表独自技候補: アイスバーン,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
122,マカドゥス,いわ／でんき,マカドゥス,進化先／単独種,特殊アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,メテオビーム / ステルスロック / かみなり / でんじは,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,ステルスロック / ボルトチェンジ,メテオビーム / エレキネット,すなあらし / じゅうでん,代表独自技候補: ダイヤブラスト / マッハボルト,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
133,タツゴン,ドラゴン,タツゴン → ラグーン → ドラドーン,基礎形,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ドラゴンテール / りゅうのまい,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,ワイドブレイカー,りゅうせいぐん,こわいかお,代表独自技候補: ドラゴンビート,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
134,ラグーン,ドラゴン／みず,タツゴン → ラグーン → ドラドーン,中間進化,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ドラゴンクロー / りゅうのまい / アクアブレイク / あまごい,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,ワイドブレイカー / アクアブレイク,りゅうせいぐん / クイックターン,こわいかお / アクアリング,代表独自技候補: ドラゴンビート / アクアボルト,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
135,ドラドーン,ドラゴン／みず,タツゴン → ラグーン → ドラドーン,進化先／単独種,両刀・可変,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ドラゴンクロー / りゅうのはどう / りゅうのまい / アクアブレイク,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,ワイドブレイカー / アクアブレイク,りゅうせいぐん / クイックターン,こわいかお / アクアリング,代表独自技候補: ドラゴンビート / アクアボルト,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
142,ライラプス,こおり／あく,ライラプス,進化先／単独種,両刀・可変,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,アイススピナー / れいとうビーム / ゆきげしき / つじぎり,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,アイススピナー / バークアウト,トリプルアクセル / はたきおとす,オーロラベール / わるだくみ,代表独自技候補: アイスバーン / ダークカッター,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
143,ガニメデ,こおり／でんき,ガニメデ,進化先／単独種,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ふぶき / ゆきげしき / かみなり / でんじは,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,アイススピナー / ボルトチェンジ,トリプルアクセル / エレキネット,オーロラベール / じゅうでん,代表独自技候補: アイスバーン / マッハボルト,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
144,ネメア,ほのお／あく,ネメア,進化先／単独種,両刀・可変,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ニトロチャージ / かえんほうしゃ / おにび / つじぎり,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,かえんほうしゃ / バークアウト,ねっぷう / はたきおとす,にほんばれ / わるだくみ,代表独自技候補: マグマアクセル / ダークカッター,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
161,バジール,くさ／どく,バジール → バジルス → バジリール,基礎形,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,メガドレイン / やどりぎのタネ / アシッドボム / どくどく,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,くさむすび / ベノムショック,グラススライダー / ダストシュート,こうごうせい / どくびし,代表独自技候補: リーフガード / ポイズンリーフ,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
162,バジルス,くさ／どく,バジール → バジルス → バジリール,中間進化,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ギガドレイン / やどりぎのタネ / ヘドロばくだん / どくどく,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,くさむすび / ベノムショック,グラススライダー / ダストシュート,こうごうせい / どくびし,代表独自技候補: リーフガード / ポイズンリーフ,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
163,バジリール,くさ／どく,バジール → バジルス → バジリール,進化先／単独種,耐久・補助,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ギガドレイン / やどりぎのタネ / こうごうせい / ヘドロばくだん,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,くさむすび / ベノムショック,グラススライダー / ダストシュート,こうごうせい / どくびし,代表独自技候補: リーフガード / ポイズンリーフ,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
164,コマシシ,ほのお,コマシシ → コマレオ → コマレオン,基礎形,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ひのこ / おにび,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,かえんほうしゃ,ねっぷう,にほんばれ,代表独自技候補: マグマアクセル,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
165,コマレオ,ほのお,コマシシ → コマレオ → コマレオン,中間進化,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,かえんほうしゃ / おにび,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,かえんほうしゃ,ねっぷう,にほんばれ,代表独自技候補: マグマアクセル,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
166,コマレオン,ほのお／かくとう,コマシシ → コマレオ → コマレオン,進化先／単独種,物理アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,フレアドライブ / おにび / インファイト / ビルドアップ,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,かえんほうしゃ / ドレインパンチ,ねっぷう / コーチング,にほんばれ / みきり,代表独自技候補: マグマアクセル / マグナムパンチ,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
167,トッコウオ,みず,トッコウオ → ボウソウオ → バクソウオ,基礎形,両刀・可変,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,アクアジェット / みずのはどう,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,アクアブレイク,クイックターン,アクアリング,代表独自技候補: アクアボルト,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
168,ボウソウオ,みず,トッコウオ → ボウソウオ → バクソウオ,中間進化,両刀・可変,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,アクアブレイク / なみのり,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,アクアブレイク,クイックターン,アクアリング,代表独自技候補: アクアボルト,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
169,バクソウオ,みず／エスパー,トッコウオ → ボウソウオ → バクソウオ,進化先／単独種,特殊アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ハイドロポンプ / あまごい / サイコショック / めいそう,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,アクアブレイク / サイコショック,クイックターン / トリック,アクアリング / ひかりのかべ,代表独自技候補: アクアボルト / サイコパンチ,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
170,チェキラ,ノーマル,チェキラ → チェキッド → チェキラス,基礎形,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ずつき / アンコール,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,まもる,てだすけ,あくび,代表独自技候補: スピンテール,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
171,チェキッド,ノーマル,チェキラ → チェキッド → チェキラス,中間進化,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,のしかかり / アンコール,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,まもる,てだすけ,あくび,代表独自技候補: スピンテール,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
172,チェキラス,ノーマル,チェキラ → チェキッド → チェキラス,進化先／単独種,物理アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,すてみタックル / アンコール,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,まもる,てだすけ,あくび,代表独自技候補: スピンテール,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
