category,item,source_identifier,earliest_gate,acquisition,repeatability,currency_or_price,integration_note
タイプZクリスタル,ハガネＺ,steelium-z--held,バッジ5個,オウニ工房・合金試験を達成,1回／紛失時再発行,調査ポイント3（再発行）,Zリング入手前に達成した場合は研究所で後日受取。
タイプZクリスタル,フェアリーＺ,fairium-z--held,バッジ3個,ミルシティ・共感試験を達成,1回／紛失時再発行,調査ポイント3（再発行）,Zリング入手前に達成した場合は研究所で後日受取。
専用Zクリスタル,ピカチュウＺ,pikanium-z--held,殿堂入り,ピカチュウを入手し、ミラージュの専用技試験をクリア,1回／紛失時再発行,調査ポイント5（再発行）,対象種を所持していない状態では受取不可。技条件を図鑑詳細に表示。
専用Zクリスタル,ジュナイパーＺ,decidium-z--held,殿堂入り,ジュナイパーを入手し、ミラージュの専用技試験をクリア,1回／紛失時再発行,調査ポイント5（再発行）,対象種を所持していない状態では受取不可。技条件を図鑑詳細に表示。
専用Zクリスタル,ガオガエンＺ,incinium-z--held,殿堂入り,ガオガエンを入手し、ミラージュの専用技試験をクリア,1回／紛失時再発行,調査ポイント5（再発行）,対象種を所持していない状態では受取不可。技条件を図鑑詳細に表示。
専用Zクリスタル,アシレーヌＺ,primarium-z--held,殿堂入り,アシレーヌを入手し、ミラージュの専用技試験をクリア,1回／紛失時再発行,調査ポイント5（再発行）,対象種を所持していない状態では受取不可。技条件を図鑑詳細に表示。
専用Zクリスタル,カプＺ,tapunium-z--held,殿堂入り,カプ系4種を入手し、ミラージュの専用技試験をクリア,1回／紛失時再発行,調査ポイント5（再発行）,対象種を所持していない状態では受取不可。技条件を図鑑詳細に表示。
専用Zクリスタル,マーシャドーＺ,marshadium-z--held,殿堂入り,マーシャドーを入手し、ミラージュの専用技試験をクリア,1回／紛失時再発行,調査ポイント5（再発行）,対象種を所持していない状態では受取不可。技条件を図鑑詳細に表示。
専用Zクリスタル,アロライＺ,aloraichium-z--held,殿堂入り,アローラライチュウを入手し、ミラージュの専用技試験をクリア,1回／紛失時再発行,調査ポイント5（再発行）,対象種を所持していない状態では受取不可。技条件を図鑑詳細に表示。
専用Zクリスタル,カビゴンＺ,snorlium-z--held,殿堂入り,カビゴンを入手し、ミラージュの専用技試験をクリア,1回／紛失時再発行,調査ポイント5（再発行）,対象種を所持していない状態では受取不可。技条件を図鑑詳細に表示。
専用Zクリスタル,イーブイＺ,eevium-z--held,殿堂入り,イーブイを入手し、ミラージュの専用技試験をクリア,1回／紛失時再発行,調査ポイント5（再発行）,対象種を所持していない状態では受取不可。技条件を図鑑詳細に表示。
専用Zクリスタル,ミュウＺ,mewnium-z--held,殿堂入り,ミュウを入手し、ミラージュの専用技試験をクリア,1回／紛失時再発行,調査ポイント5（再発行）,対象種を所持していない状態では受取不可。技条件を図鑑詳細に表示。
専用Zクリスタル,サトピカＺ,pikashunium-z--held,殿堂入り,サトシ帽ピカチュウを入手し、ミラージュの専用技試験をクリア,1回／紛失時再発行,調査ポイント5（再発行）,対象種を所持していない状態では受取不可。技条件を図鑑詳細に表示。
専用Zクリスタル,ソルガレオＺ,solganium-z--held,殿堂入り,ソルガレオを入手し、ミラージュの専用技試験をクリア,1回／紛失時再発行,調査ポイント5（再発行）,対象種を所持していない状態では受取不可。技条件を図鑑詳細に表示。
専用Zクリスタル,ルナアーラＺ,lunalium-z--held,殿堂入り,ルナアーラを入手し、ミラージュの専用技試験をクリア,1回／紛失時再発行,調査ポイント5（再発行）,対象種を所持していない状態では受取不可。技条件を図鑑詳細に表示。
専用Zクリスタル,ウルトラネクロＺ,ultranecrozium-z--held,殿堂入り,ネクロズマを入手し、ミラージュの専用技試験をクリア,1回／紛失時再発行,調査ポイント5（再発行）,対象種を所持していない状態では受取不可。技条件を図鑑詳細に表示。
専用Zクリスタル,ミミッキュＺ,mimikium-z--held,殿堂入り,ミミッキュを入手し、ミラージュの専用技試験をクリア,1回／紛失時再発行,調査ポイント5（再発行）,対象種を所持していない状態では受取不可。技条件を図鑑詳細に表示。
専用Zクリスタル,ルガルガンＺ,lycanium-z--held,殿堂入り,ルガルガンを入手し、ミラージュの専用技試験をクリア,1回／紛失時再発行,調査ポイント5（再発行）,対象種を所持していない状態では受取不可。技条件を図鑑詳細に表示。
専用Zクリスタル,ジャラランガＺ,kommonium-z--held,殿堂入り,ジャラランガを入手し、ミラージュの専用技試験をクリア,1回／紛失時再発行,調査ポイント5（再発行）,対象種を所持していない状態では受取不可。技条件を図鑑詳細に表示。
対戦用持ち物,こだわりハチマキ,choice-band,殿堂入り,ミラージュバトルBP交換,反復,BP8～24,ストーリー中の拾得は1個まで。
対戦用持ち物,こだわりメガネ,choice-specs,殿堂入り,ミラージュバトルBP交換,反復,BP8～24,ストーリー中の拾得は1個まで。
対戦用持ち物,こだわりスカーフ,choice-scarf,殿堂入り,ミラージュバトルBP交換,反復,BP8～24,ストーリー中の拾得は1個まで。
対戦用持ち物,いのちのたま,life-orb,殿堂入り,ミラージュバトルBP交換,反復,BP8～24,ストーリー中の拾得は1個まで。
対戦用持ち物,とつげきチョッキ,assault-vest,殿堂入り,ミラージュバトルBP交換,反復,BP8～24,ストーリー中の拾得は1個まで。
対戦用持ち物,しんかのきせき,eviolite,殿堂入り,ミラージュバトルBP交換,反復,BP8～24,ストーリー中の拾得は1個まで。
対戦用持ち物,あつぞこブーツ,heavy-duty-boots,殿堂入り,ミラージュバトルBP交換,反復,BP8～24,ストーリー中の拾得は1個まで。
対戦用持ち物,いかさまダイス,loaded-dice,殿堂入り,ミラージュバトルBP交換,反復,BP8～24,ストーリー中の拾得は1個まで。
対戦用持ち物,おんみつマント,covert-cloak,殿堂入り,ミラージュバトルBP交換,反復,BP8～24,ストーリー中の拾得は1個まで。
対戦用持ち物,クリアチャーム,clear-amulet,殿堂入り,ミラージュバトルBP交換,反復,BP8～24,ストーリー中の拾得は1個まで。
対戦用持ち物,ブーストエナジー,booster-energy,殿堂入り,ミラージュバトルBP交換,反復,BP8～24,ストーリー中の拾得は1個まで。
対戦用持ち物,とくせいガード,ability-shield,殿堂入り,ミラージュバトルBP交換,反復,BP8～24,ストーリー中の拾得は1個まで。
育成,とくせいカプセル,ability-capsule,殿堂入り,ミラージュBP／高難度レイド,反復,BP20～80,能力変更は確認画面付き。
育成,とくせいパッチ,ability-patch,殿堂入り,ミラージュBP／高難度レイド,反復,BP20～80,能力変更は確認画面付き。
育成,ぎんのおうかん,bottle-cap,殿堂入り,ミラージュBP／高難度レイド,反復,BP20～80,能力変更は確認画面付き。
育成,きんのおうかん,gold-bottle-cap,殿堂入り,ミラージュBP／高難度レイド,反復,BP20～80,能力変更は確認画面付き。
ミント,さみしがりミント,lonely-mint,殿堂入り,ラピスラシティの香草店,反復,12000円,代表12種を店頭、残りは同一メニュー内。
ミント,いじっぱりミント,adamant-mint,殿堂入り,ラピスラシティの香草店,反復,12000円,代表12種を店頭、残りは同一メニュー内。
ミント,ひかえめミント,modest-mint,殿堂入り,ラピスラシティの香草店,反復,12000円,代表12種を店頭、残りは同一メニュー内。
ミント,おくびょうミント,timid-mint,殿堂入り,ラピスラシティの香草店,反復,12000円,代表12種を店頭、残りは同一メニュー内。
ミント,ようきミント,jolly-mint,殿堂入り,ラピスラシティの香草店,反復,12000円,代表12種を店頭、残りは同一メニュー内。
ミント,ずぶといミント,bold-mint,殿堂入り,ラピスラシティの香草店,反復,12000円,代表12種を店頭、残りは同一メニュー内。
ミント,おだやかミント,calm-mint,殿堂入り,ラピスラシティの香草店,反復,12000円,代表12種を店頭、残りは同一メニュー内。
ミント,しんちょうミント,careful-mint,殿堂入り,ラピスラシティの香草店,反復,12000円,代表12種を店頭、残りは同一メニュー内。
ミント,ゆうかんミント,brave-mint,殿堂入り,ラピスラシティの香草店,反復,12000円,代表12種を店頭、残りは同一メニュー内。
ミント,れいせいミント,quiet-mint,殿堂入り,ラピスラシティの香草店,反復,12000円,代表12種を店頭、残りは同一メニュー内。
ミント,なまいきミント,sassy-mint,殿堂入り,ラピスラシティの香草店,反復,12000円,代表12種を店頭、残りは同一メニュー内。
ミント,まじめミント,serious-mint,殿堂入り,ラピスラシティの香草店,反復,12000円,代表12種を店頭、残りは同一メニュー内。
テラピース,テラピースノーマル,normal-tera-shard,スフィアいせき後,結晶レイド／スフィアいせき採掘,反復,―,50個ではなく10個でタイプ変更し、周回負担を抑える。
テラピース,テラピースほのお,fire-tera-shard,スフィアいせき後,結晶レイド／スフィアいせき採掘,反復,―,50個ではなく10個でタイプ変更し、周回負担を抑える。
テラピース,テラピースみず,water-tera-shard,スフィアいせき後,結晶レイド／スフィアいせき採掘,反復,―,50個ではなく10個でタイプ変更し、周回負担を抑える。
テラピース,テラピースでんき,electric-tera-shard,スフィアいせき後,結晶レイド／スフィアいせき採掘,反復,―,50個ではなく10個でタイプ変更し、周回負担を抑える。
テラピース,テラピースくさ,grass-tera-shard,スフィアいせき後,結晶レイド／スフィアいせき採掘,反復,―,50個ではなく10個でタイプ変更し、周回負担を抑える。
テラピース,テラピースこおり,ice-tera-shard,スフィアいせき後,結晶レイド／スフィアいせき採掘,反復,―,50個ではなく10個でタイプ変更し、周回負担を抑える。
テラピース,テラピースかくとう,fighting-tera-shard,スフィアいせき後,結晶レイド／スフィアいせき採掘,反復,―,50個ではなく10個でタイプ変更し、周回負担を抑える。
テラピース,テラピースどく,poison-tera-shard,スフィアいせき後,結晶レイド／スフィアいせき採掘,反復,―,50個ではなく10個でタイプ変更し、周回負担を抑える。
テラピース,テラピースじめん,ground-tera-shard,スフィアいせき後,結晶レイド／スフィアいせき採掘,反復,―,50個ではなく10個でタイプ変更し、周回負担を抑える。
テラピース,テラピースひこう,flying-tera-shard,スフィアいせき後,結晶レイド／スフィアいせき採掘,反復,―,50個ではなく10個でタイプ変更し、周回負担を抑える。
テラピース,テラピースエスパー,psychic-tera-shard,スフィアいせき後,結晶レイド／スフィアいせき採掘,反復,―,50個ではなく10個でタイプ変更し、周回負担を抑える。
テラピース,テラピースむし,bug-tera-shard,スフィアいせき後,結晶レイド／スフィアいせき採掘,反復,―,50個ではなく10個でタイプ変更し、周回負担を抑える。
テラピース,テラピースいわ,rock-tera-shard,スフィアいせき後,結晶レイド／スフィアいせき採掘,反復,―,50個ではなく10個でタイプ変更し、周回負担を抑える。
テラピース,テラピースゴースト,ghost-tera-shard,スフィアいせき後,結晶レイド／スフィアいせき採掘,反復,―,50個ではなく10個でタイプ変更し、周回負担を抑える。
テラピース,テラピースドラゴン,dragon-tera-shard,スフィアいせき後,結晶レイド／スフィアいせき採掘,反復,―,50個ではなく10個でタイプ変更し、周回負担を抑える。
テラピース,テラピースあく,dark-tera-shard,スフィアいせき後,結晶レイド／スフィアいせき採掘,反復,―,50個ではなく10個でタイプ変更し、周回負担を抑える。
テラピース,テラピースはがね,steel-tera-shard,スフィアいせき後,結晶レイド／スフィアいせき採掘,反復,―,50個ではなく10個でタイプ変更し、周回負担を抑える。
テラピース,テラピースフェアリー,fairy-tera-shard,スフィアいせき後,結晶レイド／スフィアいせき採掘,反復,―,50個ではなく10個でタイプ変更し、周回負担を抑える。
ボール,クイックボール,quick-ball,バッジ3個以降,シオウ／オウニ／研究所の段階解禁ショップ,反復,1000～2500円,ビーストボールのみUB調査後。
ボール,ダークボール,dusk-ball,バッジ3個以降,シオウ／オウニ／研究所の段階解禁ショップ,反復,1000～2500円,ビーストボールのみUB調査後。
ボール,タイマーボール,timer-ball,バッジ3個以降,シオウ／オウニ／研究所の段階解禁ショップ,反復,1000～2500円,ビーストボールのみUB調査後。
ボール,リピートボール,repeat-ball,バッジ3個以降,シオウ／オウニ／研究所の段階解禁ショップ,反復,1000～2500円,ビーストボールのみUB調査後。
ボール,ネットボール,net-ball,バッジ3個以降,シオウ／オウニ／研究所の段階解禁ショップ,反復,1000～2500円,ビーストボールのみUB調査後。
ボール,ダイブボール,dive-ball,バッジ3個以降,シオウ／オウニ／研究所の段階解禁ショップ,反復,1000～2500円,ビーストボールのみUB調査後。
ボール,ヒールボール,heal-ball,バッジ3個以降,シオウ／オウニ／研究所の段階解禁ショップ,反復,1000～2500円,ビーストボールのみUB調査後。
ボール,ゴージャスボール,luxury-ball,バッジ3個以降,シオウ／オウニ／研究所の段階解禁ショップ,反復,1000～2500円,ビーストボールのみUB調査後。
ボール,ドリームボール,dream-ball,バッジ3個以降,シオウ／オウニ／研究所の段階解禁ショップ,反復,1000～2500円,ビーストボールのみUB調査後。
ボール,ウルトラボール,beast-ball,バッジ3個以降,シオウ／オウニ／研究所の段階解禁ショップ,反復,1000～2500円,ビーストボールのみUB調査後。
ボール,ルアーボール,lure-ball,バッジ3個以降,シオウ／オウニ／研究所の段階解禁ショップ,反復,1000～2500円,ビーストボールのみUB調査後。
ボール,レベルボール,level-ball,バッジ3個以降,シオウ／オウニ／研究所の段階解禁ショップ,反復,1000～2500円,ビーストボールのみUB調査後。
ボール,ヘビーボール,heavy-ball,バッジ3個以降,シオウ／オウニ／研究所の段階解禁ショップ,反復,1000～2500円,ビーストボールのみUB調査後。
ボール,スピードボール,fast-ball,バッジ3個以降,シオウ／オウニ／研究所の段階解禁ショップ,反復,1000～2500円,ビーストボールのみUB調査後。
ボール,フレンドボール,friend-ball,バッジ3個以降,シオウ／オウニ／研究所の段階解禁ショップ,反復,1000～2500円,ビーストボールのみUB調査後。
ボール,ラブラブボール,love-ball,バッジ3個以降,シオウ／オウニ／研究所の段階解禁ショップ,反復,1000～2500円,ビーストボールのみUB調査後。
化石,かいのカセキ,helix-fossil,バッジ5個／殿堂入り,ちえのどうくつ採掘・いわくだき・考古学依頼,反復,調査ポイント3,全化石を1データで入手可能。ガラル化石は2部品を復元機へ。
化石,こうらのカセキ,dome-fossil,バッジ5個／殿堂入り,ちえのどうくつ採掘・いわくだき・考古学依頼,反復,調査ポイント3,全化石を1データで入手可能。ガラル化石は2部品を復元機へ。
化石,ひみつのコハク,old-amber,バッジ5個／殿堂入り,ちえのどうくつ採掘・いわくだき・考古学依頼,反復,調査ポイント3,全化石を1データで入手可能。ガラル化石は2部品を復元機へ。
化石,ねっこのカセキ,root-fossil,バッジ5個／殿堂入り,ちえのどうくつ採掘・いわくだき・考古学依頼,反復,調査ポイント3,全化石を1データで入手可能。ガラル化石は2部品を復元機へ。
化石,ツメのカセキ,claw-fossil,バッジ5個／殿堂入り,ちえのどうくつ採掘・いわくだき・考古学依頼,反復,調査ポイント3,全化石を1データで入手可能。ガラル化石は2部品を復元機へ。
化石,ずがいのカセキ,skull-fossil,バッジ5個／殿堂入り,ちえのどうくつ採掘・いわくだき・考古学依頼,反復,調査ポイント3,全化石を1データで入手可能。ガラル化石は2部品を復元機へ。
化石,たてのカセキ,armor-fossil,バッジ5個／殿堂入り,ちえのどうくつ採掘・いわくだき・考古学依頼,反復,調査ポイント3,全化石を1データで入手可能。ガラル化石は2部品を復元機へ。
化石,ふたのカセキ,cover-fossil,バッジ5個／殿堂入り,ちえのどうくつ採掘・いわくだき・考古学依頼,反復,調査ポイント3,全化石を1データで入手可能。ガラル化石は2部品を復元機へ。
化石,はねのカセキ,plume-fossil,バッジ5個／殿堂入り,ちえのどうくつ採掘・いわくだき・考古学依頼,反復,調査ポイント3,全化石を1データで入手可能。ガラル化石は2部品を復元機へ。
化石,アゴのカセキ,jaw-fossil,バッジ5個／殿堂入り,ちえのどうくつ採掘・いわくだき・考古学依頼,反復,調査ポイント3,全化石を1データで入手可能。ガラル化石は2部品を復元機へ。
化石,ヒレのカセキ,sail-fossil,バッジ5個／殿堂入り,ちえのどうくつ採掘・いわくだき・考古学依頼,反復,調査ポイント3,全化石を1データで入手可能。ガラル化石は2部品を復元機へ。
化石,カセキのトリ,fossilized-bird,バッジ5個／殿堂入り,ちえのどうくつ採掘・いわくだき・考古学依頼,反復,調査ポイント3,全化石を1データで入手可能。ガラル化石は2部品を復元機へ。
化石,カセキのサカナ,fossilized-fish,バッジ5個／殿堂入り,ちえのどうくつ採掘・いわくだき・考古学依頼,反復,調査ポイント3,全化石を1データで入手可能。ガラル化石は2部品を復元機へ。
化石,カセキのリュウ,fossilized-drake,バッジ5個／殿堂入り,ちえのどうくつ採掘・いわくだき・考古学依頼,反復,調査ポイント3,全化石を1データで入手可能。ガラル化石は2部品を復元機へ。
化石,カセキのクビナガ,fossilized-dino,バッジ5個／殿堂入り,ちえのどうくつ採掘・いわくだき・考古学依頼,反復,調査ポイント3,全化石を1データで入手可能。ガラル化石は2部品を復元機へ。
