region,map_code,map_name,progress_stage,recommended_level_range,evolution_chain_id,root_national_no,root_name,family,types,category,integration_mode,encounter_method,encounter_level,encounter_rate,condition,stage_policy,dual_region_role,rotation_group,hidden_ability_policy,duplicate_capture_policy,implementation_note
カントー,K04,4ばんどうろ,認定章1前後,Lv.72～77,110,216,ヒメグマ,ヒメグマ → リングマ → ガチグマ,ノーマル／じめん,通常生態,外来生態レイヤーへ追加,草むらオーバーレイ,Lv.72～77,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R1,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,T501,501ばんどうろ／すいどう,序盤A,Lv.2～5,110,216,ヒメグマ,ヒメグマ → リングマ → ガチグマ,ノーマル／じめん,通常生態,外来生態レイヤーへ追加,草むらオーバーレイ,Lv.2～5,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R1,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
カントー,K21,21ばんどうろ,認定章6前後,Lv.89～94,111,218,マグマッグ,マグマッグ → マグカルゴ,いわ／ほのお,通常生態,外来生態レイヤーへ追加,草むらオーバーレイ,Lv.89～94,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R3,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,T028,ひのしま,中盤B,Lv.30～40／殿堂入り後Lv.55～70,111,218,マグマッグ,マグマッグ → マグカルゴ,いわ／ほのお,通常生態,外来生態レイヤーへ追加,いわくだき／DexNav,Lv.30～40／殿堂入り後Lv.55～70,通常0%／DexNav 2～5%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R3,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
カントー,K38,ふたごじま,認定章5～6,Lv.88～96,112,220,ウリムー,ウリムー → イノムー → マンムー,じめん／こおり,通常生態,ベガ既存系統を完全保持,洞窟・屋内オーバーレイ,Lv.88～96,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,R1,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存条件,既存値,112,220,ウリムー,ウリムー → イノムー → マンムー,じめん／こおり,通常生態,ベガ既存系統を完全保持,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,固定／既存,既存個体を変更しない。カントー側DexNavまたは特性パッチで隠れ特性を補完。,通常種は両地方で捕獲可能。,ベガ既存テーブル・固定イベント・配布・進化参照を変更しない。
カントー,K21,21ばんどうろ,認定章6前後,Lv.89～94,113,222,サニーゴ,サニーゴ → サニゴーン,いわ／ゴースト／みず,通常生態,外来生態レイヤーへ追加,釣りオーバーレイ,Lv.89～94,通常表10～20%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R3,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,T509,509ばんどうろ／すいどう,中盤A,Lv.21～27,113,222,サニーゴ,サニーゴ → サニゴーン,いわ／ゴースト／みず,通常生態,外来生態レイヤーへ追加,釣りオーバーレイ,Lv.21～27,追加抽選6～10%,T-E04完了＋いいつりざお,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R3,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
カントー,K15,15ばんどうろ,認定章4～5,Lv.85～90,114,223,テッポウオ,テッポウオ → オクタン,みず,通常生態,ベガ既存系統を完全保持,水上オーバーレイ,Lv.85～90,通常表10～20%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,R4,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存条件,既存値,114,223,テッポウオ,テッポウオ → オクタン,みず,通常生態,ベガ既存系統を完全保持,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,固定／既存,既存個体を変更しない。カントー側DexNavまたは特性パッチで隠れ特性を補完。,通常種は両地方で捕獲可能。,ベガ既存テーブル・固定イベント・配布・進化参照を変更しない。
カントー,K20,20ばんどうろ,認定章5後,Lv.88～93,115,225,デリバード,デリバード,ひこう／こおり,通常生態,ベガ既存系統を完全保持,草むらオーバーレイ,Lv.88～93,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,R2,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存条件,既存値,115,225,デリバード,デリバード,ひこう／こおり,通常生態,ベガ既存系統を完全保持,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,固定／既存,既存個体を変更しない。カントー側DexNavまたは特性パッチで隠れ特性を補完。,通常種は両地方で捕獲可能。,ベガ既存テーブル・固定イベント・配布・進化参照を変更しない。
カントー,K11,11ばんどうろ,認定章2～3,Lv.76～82,117,227,エアームド,エアームド,ひこう／はがね,通常生態,ベガ既存系統を完全保持,草むらオーバーレイ,Lv.76～82,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,R4,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存条件,既存値,117,227,エアームド,エアームド,ひこう／はがね,通常生態,ベガ既存系統を完全保持,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,固定／既存,既存個体を変更しない。カントー側DexNavまたは特性パッチで隠れ特性を補完。,通常種は両地方で捕獲可能。,ベガ既存テーブル・固定イベント・配布・進化参照を変更しない。
カントー,K39,ポケモンやしき,認定章6～7,Lv.91～98,118,228,デルビル,デルビル → ヘルガー,ほのお／あく,通常生態,ベガ既存系統を完全保持,夜間オーバーレイ,Lv.91～98,夜間8～12%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,R1,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存条件,既存値,118,228,デルビル,デルビル → ヘルガー,ほのお／あく,通常生態,ベガ既存系統を完全保持,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,固定／既存,既存個体を変更しない。カントー側DexNavまたは特性パッチで隠れ特性を補完。,通常種は両地方で捕獲可能。,ベガ既存テーブル・固定イベント・配布・進化参照を変更しない。
カントー,K30,イワヤマトンネル,認定章2～3,Lv.80～87,119,231,ゴマゾウ,ゴマゾウ → ドンファン,じめん,通常生態,外来生態レイヤーへ追加,いわくだき／DexNav,Lv.80～87,通常0%／DexNav 2～5%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R4,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,T031,ユキユキやま,中盤C,Lv.36～46／殿堂入り後Lv.58～72,119,231,ゴマゾウ,ゴマゾウ → ドンファン,じめん,通常生態,外来生態レイヤーへ追加,いわくだき／DexNav,Lv.36～46／殿堂入り後Lv.58～72,通常0%／DexNav 2～5%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R4,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
カントー,K16,16ばんどうろ,認定章4前後,Lv.81～86,120,234,オドシシ,オドシシ → アヤシシ,ノーマル／エスパー,通常生態,外来生態レイヤーへ追加,草むらオーバーレイ,Lv.81～86,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R3,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,T506,506ばんどうろ／すいどう,序盤B,Lv.12～17,120,234,オドシシ,オドシシ → アヤシシ,ノーマル／エスパー,通常生態,外来生態レイヤーへ追加,草むらオーバーレイ,Lv.12～17,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R3,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
カントー,K18,18ばんどうろ,認定章4～5,Lv.84～90,121,235,ドーブル,ドーブル,ノーマル,通常生態,外来生態レイヤーへ追加,草むらオーバーレイ,Lv.84～90,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R4,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,T506,506ばんどうろ／すいどう,序盤B,Lv.12～17,121,235,ドーブル,ドーブル,ノーマル,通常生態,外来生態レイヤーへ追加,草むらオーバーレイ,Lv.12～17,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R4,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
カントー,K10,10ばんどうろ,認定章2～3,Lv.78～84,47,236,バルキー,バルキー → サワムラー → エビワラー → カポエラー,かくとう,ベビィ含有,ベガ既存系統を完全保持,DexNav隠し枠／低確率タマゴ,Lv.78～84,通常0%／DexNav 2～5%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,R1,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存条件,既存値,47,236,バルキー,バルキー → サワムラー → エビワラー → カポエラー,かくとう,ベビィ含有,ベガ既存系統を完全保持,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,固定／既存,既存個体を変更しない。カントー側DexNavまたは特性パッチで隠れ特性を補完。,通常種は両地方で捕獲可能。,ベガ既存テーブル・固定イベント・配布・進化参照を変更しない。
カントー,K38,ふたごじま,認定章5～6,Lv.88～96,59,238,ムチュール,ムチュール → ルージュラ,エスパー／こおり,ベビィ含有,ベガ既存系統を完全保持,DexNav隠し枠／低確率タマゴ,Lv.88～96,通常0%／DexNav 2～5%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,R3,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存条件,既存値,59,238,ムチュール,ムチュール → ルージュラ,エスパー／こおり,ベビィ含有,ベガ既存系統を完全保持,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,固定／既存,既存個体を変更しない。カントー側DexNavまたは特性パッチで隠れ特性を補完。,通常種は両地方で捕獲可能。,ベガ既存テーブル・固定イベント・配布・進化参照を変更しない。
カントー,K40,むじんはつでんしょ,認定章2～6,Lv.82～94,60,239,エレキッド,エレキッド → エレブー → エレキブル,でんき,ベビィ含有,ベガ既存系統を完全保持,DexNav隠し枠／低確率タマゴ,Lv.82～94,通常0%／DexNav 2～5%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,R4,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存条件,既存値,60,239,エレキッド,エレキッド → エレブー → エレキブル,でんき,ベビィ含有,ベガ既存系統を完全保持,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,固定／既存,既存個体を変更しない。カントー側DexNavまたは特性パッチで隠れ特性を補完。,通常種は両地方で捕獲可能。,ベガ既存テーブル・固定イベント・配布・進化参照を変更しない。
カントー,K39,ポケモンやしき,認定章6～7,Lv.91～98,61,240,ブビィ,ブビィ → ブーバー → ブーバーン,ほのお,ベビィ含有,ベガ既存系統を完全保持,DexNav隠し枠／低確率タマゴ,Lv.91～98,通常0%／DexNav 2～5%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,R1,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存条件,既存値,61,240,ブビィ,ブビィ → ブーバー → ブーバーン,ほのお,ベビィ含有,ベガ既存系統を完全保持,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,固定／既存,既存個体を変更しない。カントー側DexNavまたは特性パッチで隠れ特性を補完。,通常種は両地方で捕獲可能。,ベガ既存テーブル・固定イベント・配布・進化参照を変更しない。
カントー,K05,5ばんどうろ,認定章2前後,Lv.74～79,122,241,ミルタンク,ミルタンク,ノーマル,通常生態,ベガ既存系統を完全保持,草むらオーバーレイ,Lv.74～79,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,R2,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存条件,既存値,122,241,ミルタンク,ミルタンク,ノーマル,通常生態,ベガ既存系統を完全保持,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,固定／既存,既存個体を変更しない。カントー側DexNavまたは特性パッチで隠れ特性を補完。,通常種は両地方で捕獲可能。,ベガ既存テーブル・固定イベント・配布・進化参照を変更しない。
カントー,EVENT_K,カントー共鳴碑／研究記録,固定イベント／共鳴クエスト,イベント別,123,243,ライコウ,ライコウ,でんき,伝説,ベガ既存特殊個体を保持＋他地方共鳴,手掛かり／共鳴戦／専用素材,イベント別,重複捕獲なし,既存条件＋主地方の捕獲フラグ共有,固定シンボル／イベント専用。主捕獲地方でのみ捕獲し、副地方は手掛かり・共鳴戦・素材報酬。,主地方で1個体だけ捕獲し、副地方では手掛かり・共鳴戦・専用素材を扱う。捕獲済みフラグは両地方で共有し、重複個体を与えない。,イベント専用,固定個体の特性はイベント定義。隠れ特性は報酬・再戦・特性パッチで救済。,共有捕獲フラグで全地方1個体。撃破時のみ再出現、捕獲後は素材・再戦へ分岐。,野生通常表、DexNav通常検索、大量発生には登録しない。
トーホク,EVENT_T,ベガ既存地点,固定イベント／共鳴クエスト,Lv.70,123,243,ライコウ,ライコウ,でんき,伝説,ベガ既存特殊個体を保持＋他地方共鳴,ベガ既存入手法＋捕獲救済,Lv.70,原則1体・撃破時復活,既存条件,固定シンボル／イベント専用。主捕獲地方でのみ捕獲し、副地方は手掛かり・共鳴戦・素材報酬。,主地方で1個体だけ捕獲し、副地方では手掛かり・共鳴戦・専用素材を扱う。捕獲済みフラグは両地方で共有し、重複個体を与えない。,イベント専用,固定個体の特性はイベント定義。隠れ特性は報酬・再戦・特性パッチで救済。,共有捕獲フラグで全地方1個体。撃破時のみ再出現、捕獲後は素材・再戦へ分岐。,野生通常表、DexNav通常検索、大量発生には登録しない。
カントー,EVENT_K,カントー共鳴碑／研究記録,固定イベント／共鳴クエスト,イベント別,124,244,エンテイ,エンテイ,ほのお,伝説,ベガ既存特殊個体を保持＋他地方共鳴,手掛かり／共鳴戦／専用素材,イベント別,重複捕獲なし,既存条件＋主地方の捕獲フラグ共有,固定シンボル／イベント専用。主捕獲地方でのみ捕獲し、副地方は手掛かり・共鳴戦・素材報酬。,主地方で1個体だけ捕獲し、副地方では手掛かり・共鳴戦・専用素材を扱う。捕獲済みフラグは両地方で共有し、重複個体を与えない。,イベント専用,固定個体の特性はイベント定義。隠れ特性は報酬・再戦・特性パッチで救済。,共有捕獲フラグで全地方1個体。撃破時のみ再出現、捕獲後は素材・再戦へ分岐。,野生通常表、DexNav通常検索、大量発生には登録しない。
トーホク,EVENT_T,ベガ既存地点,固定イベント／共鳴クエスト,Lv.70,124,244,エンテイ,エンテイ,ほのお,伝説,ベガ既存特殊個体を保持＋他地方共鳴,ベガ既存入手法＋捕獲救済,Lv.70,原則1体・撃破時復活,既存条件,固定シンボル／イベント専用。主捕獲地方でのみ捕獲し、副地方は手掛かり・共鳴戦・素材報酬。,主地方で1個体だけ捕獲し、副地方では手掛かり・共鳴戦・専用素材を扱う。捕獲済みフラグは両地方で共有し、重複個体を与えない。,イベント専用,固定個体の特性はイベント定義。隠れ特性は報酬・再戦・特性パッチで救済。,共有捕獲フラグで全地方1個体。撃破時のみ再出現、捕獲後は素材・再戦へ分岐。,野生通常表、DexNav通常検索、大量発生には登録しない。
カントー,EVENT_K,カントー共鳴碑／研究記録,固定イベント／共鳴クエスト,イベント別,125,245,スイクン,スイクン,みず,伝説,ベガ既存特殊個体を保持＋他地方共鳴,手掛かり／共鳴戦／専用素材,イベント別,重複捕獲なし,既存条件＋主地方の捕獲フラグ共有,固定シンボル／イベント専用。主捕獲地方でのみ捕獲し、副地方は手掛かり・共鳴戦・素材報酬。,主地方で1個体だけ捕獲し、副地方では手掛かり・共鳴戦・専用素材を扱う。捕獲済みフラグは両地方で共有し、重複個体を与えない。,イベント専用,固定個体の特性はイベント定義。隠れ特性は報酬・再戦・特性パッチで救済。,共有捕獲フラグで全地方1個体。撃破時のみ再出現、捕獲後は素材・再戦へ分岐。,野生通常表、DexNav通常検索、大量発生には登録しない。
トーホク,EVENT_T,ベガ既存地点,固定イベント／共鳴クエスト,Lv.70,125,245,スイクン,スイクン,みず,伝説,ベガ既存特殊個体を保持＋他地方共鳴,ベガ既存入手法＋捕獲救済,Lv.70,原則1体・撃破時復活,既存条件,固定シンボル／イベント専用。主捕獲地方でのみ捕獲し、副地方は手掛かり・共鳴戦・素材報酬。,主地方で1個体だけ捕獲し、副地方では手掛かり・共鳴戦・専用素材を扱う。捕獲済みフラグは両地方で共有し、重複個体を与えない。,イベント専用,固定個体の特性はイベント定義。隠れ特性は報酬・再戦・特性パッチで救済。,共有捕獲フラグで全地方1個体。撃破時のみ再出現、捕獲後は素材・再戦へ分岐。,野生通常表、DexNav通常検索、大量発生には登録しない。
