national_no,name,group,vega_existing,event_arc,location,unlock_requirement,event_flow,repeatability,capture_safety
989,スナノケガワ,パラドックス,no,時代裂け目調査,D・H時空観測室／スフィアいせき,スフィアいせき後,過去・未来チケットで出現群を切替。バージョン排他は設けない。,反復可,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
990,テツノワダチ,パラドックス,no,時代裂け目調査,D・H時空観測室／スフィアいせき,スフィアいせき後,過去・未来チケットで出現群を切替。バージョン排他は設けない。,反復可,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
991,テツノツツミ,パラドックス,no,時代裂け目調査,D・H時空観測室／スフィアいせき,スフィアいせき後,過去・未来チケットで出現群を切替。バージョン排他は設けない。,反復可,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
992,テツノカイナ,パラドックス,no,時代裂け目調査,D・H時空観測室／スフィアいせき,スフィアいせき後,過去・未来チケットで出現群を切替。バージョン排他は設けない。,反復可,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
993,テツノコウベ,パラドックス,no,時代裂け目調査,D・H時空観測室／スフィアいせき,スフィアいせき後,過去・未来チケットで出現群を切替。バージョン排他は設けない。,反復可,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
994,テツノドクガ,パラドックス,no,時代裂け目調査,D・H時空観測室／スフィアいせき,スフィアいせき後,過去・未来チケットで出現群を切替。バージョン排他は設けない。,反復可,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
995,テツノイバラ,パラドックス,no,時代裂け目調査,D・H時空観測室／スフィアいせき,スフィアいせき後,過去・未来チケットで出現群を切替。バージョン排他は設けない。,反復可,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
1001,チオンジェン,伝説,no,災いの四封,トーホク各地の封印祠,スフィアいせき後,杭は8本×4ではなく、各祠の封印札3枚に圧縮。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
1002,パオジアン,伝説,no,災いの四封,トーホク各地の封印祠,スフィアいせき後,杭は8本×4ではなく、各祠の封印札3枚に圧縮。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
1003,ディンルー,伝説,no,災いの四封,トーホク各地の封印祠,スフィアいせき後,杭は8本×4ではなく、各祠の封印札3枚に圧縮。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
1004,イーユイ,伝説,no,災いの四封,トーホク各地の封印祠,スフィアいせき後,杭は8本×4ではなく、各祠の封印札3枚に圧縮。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
1005,トドロクツキ,パラドックス,no,時代裂け目調査,D・H時空観測室／スフィアいせき,スフィアいせき後,過去・未来チケットで出現群を切替。バージョン排他は設けない。,反復可,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
1006,テツノブジン,パラドックス,no,時代裂け目調査,D・H時空観測室／スフィアいせき,スフィアいせき後,過去・未来チケットで出現群を切替。バージョン排他は設けない。,反復可,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
1007,コライドン,伝説,no,過去と未来の走者,D・H時空観測室,スフィアいせき後＋パラドックス調査,二つの時代座標を安定化し、それぞれ固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
1008,ミライドン,伝説,no,過去と未来の走者,D・H時空観測室,スフィアいせき後＋パラドックス調査,二つの時代座標を安定化し、それぞれ固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
1009,ウネルミナモ,パラドックス,no,時代裂け目調査,D・H時空観測室／スフィアいせき,スフィアいせき後,過去・未来チケットで出現群を切替。バージョン排他は設けない。,反復可,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
1010,テツノイサハ,パラドックス,no,時代裂け目調査,D・H時空観測室／スフィアいせき,スフィアいせき後,過去・未来チケットで出現群を切替。バージョン排他は設けない。,反復可,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
1014,イイネイヌ,伝説,no,仮面祭とくさりもち,ハクジタウン祭会場＋ハクジのもり,殿堂入り＋研究ランク5,オーガポンを先に保護し、三体、最後にモモワロウ。仮面はイベント中に入手。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
1015,マシマシラ,伝説,no,仮面祭とくさりもち,ハクジタウン祭会場＋ハクジのもり,殿堂入り＋研究ランク5,オーガポンを先に保護し、三体、最後にモモワロウ。仮面はイベント中に入手。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
1016,キチキギス,伝説,no,仮面祭とくさりもち,ハクジタウン祭会場＋ハクジのもり,殿堂入り＋研究ランク5,オーガポンを先に保護し、三体、最後にモモワロウ。仮面はイベント中に入手。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
1017,オーガポン,伝説,no,仮面祭とくさりもち,ハクジタウン祭会場＋ハクジのもり,殿堂入り＋研究ランク5,オーガポンを先に保護し、三体、最後にモモワロウ。仮面はイベント中に入手。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
1020,ウガツホムラ,パラドックス,no,時代裂け目調査,D・H時空観測室／スフィアいせき,スフィアいせき後,過去・未来チケットで出現群を切替。バージョン排他は設けない。,反復可,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
1021,タケルライコ,パラドックス,no,時代裂け目調査,D・H時空観測室／スフィアいせき,スフィアいせき後,過去・未来チケットで出現群を切替。バージョン排他は設けない。,反復可,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
1022,テツノイワオ,パラドックス,no,時代裂け目調査,D・H時空観測室／スフィアいせき,スフィアいせき後,過去・未来チケットで出現群を切替。バージョン排他は設けない。,反復可,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
1023,テツノカシラ,パラドックス,no,時代裂け目調査,D・H時空観測室／スフィアいせき,スフィアいせき後,過去・未来チケットで出現群を切替。バージョン排他は設けない。,反復可,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
1024,テラパゴス,伝説,no,結晶の中心,スフィアいせき結晶層,テラオーブ解禁＋研究ランク5,結晶を3箇所安定化して固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
1025,モモワロウ,幻,no,仮面祭とくさりもち,ハクジタウン祭会場＋ハクジのもり,殿堂入り＋研究ランク5,オーガポンを先に保護し、三体、最後にモモワロウ。仮面はイベント中に入手。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
